UNITID,C2MORM,C2MORT,C2MORW,CTOTALT,CS2MORM,CS2MORT,CS2MORW,CSTOTLT,EF2MORM,EF2MORT,EF2MORW,EFNRALM,EFNRALT,EFNRALW,NRADJCT,NRCMTOT,NREXCLU,NRREVCT,PGEXCLU,SSADJCT,SSCMTOT,SSEXCLU,SSREVCT,FEE2,FEE3,HRCHG2,HRCHG3,TUITION2,TUITION3,HR2MORM,HR2MORT,HR2MORW,HRTOTLT,SABDTYPE,AGRNT_A,AGRNT_N,AGRNT_P,AGRNT_T,AIDFSIN,AIDFSIP,ANYAIDN,ANYAIDP,FGRNT_A,FGRNT_N,FGRNT_P,IGRNT_A,IGRNT_N,IGRNT_P,IGRNT_T,LOAN_A,LOAN_N,LOAN_P,OFGRT_A,OFGRT_N,OFGRT_P,OFGRT_T,PGRNT_A,PGRNT_N,PGRNT_P,PGRNT_T,SCFA1N,SCFA1P,SCFA2,SCFA2DG,SCUGDGSK,SCUGFFN,SCUGNDGS,SCUGRAD,SGRNT_A,SGRNT_N,SGRNT_P,SGRNT_T,UAGRNTA,UAGRNTN,UAGRNTP,UAGRNTT,UDGAGRNTA,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGPGRNTP,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UPGRNTA,UPGRNTN,UPGRNTP,UPGRNTT,SCUGFFP,year
100654,0.031007752,0.15503876,0.12403101,23.844961,1.0,5.0,4.0,769.0,6.962963,22.74074,15.777778,16.962963,28.222221,11.259259,283.0,82.0,1.0,284.0,2.0,123.0,48.0,0.0,123.0,1414.0,1414.0,287.0,574.0,8610.0,17220.0,4.3333335,9.5,5.1666665,51.433334,-0.26785713,10066.0,1181.0,83.0,11887502.0,1229.0,87.0,1229.0,87.0,5816.0,955.0,67.0,7617.0,822.0,58.0,6261221.0,6150.0,717.0,51.0,1993.0,85.0,6.0,169391.0,5639.0,955.0,67.0,5385284.0,1417.0,28.0,5107.0,5094.0,5094.0,1417.0,13.0,5107.0,1989.0,36.0,3.0,71606.0,10797.0,4246.0,83.0,45844760.0,10797.0,4246.0,83.0,45844760.0,66.0,0.0,0.0,0.0,5519.0,3338.0,65.0,18422240.0,28.0,2022
100663,0.685422,2.1346974,1.4492754,65.486786,62.0,194.0,132.0,6035.0,90.37037,253.18518,162.81482,163.03703,285.55554,122.51852,598.6667,437.33334,0.6666667,599.3333,1.3333334,180.66667,108.666664,0.0,180.66667,0.0,0.0,368.0,884.0,8832.0,21216.0,2.7916667,6.25,3.4583333,657.9583,-0.13461539,11142.0,2190.0,93.0,24401620.0,2260.0,96.0,2268.0,96.0,6173.0,907.0,38.0,9548.0,1959.0,83.0,18703896.0,6382.0,1158.0,49.0,1250.0,204.0,9.0,254961.0,5911.0,904.0,38.0,5343746.0,2361.0,17.0,13547.0,13284.0,13284.0,2361.0,263.0,13547.0,943.0,105.0,4.0,99016.0,9889.0,10058.0,74.0,99459930.0,9935.0,9986.0,75.0,99209210.0,34.0,72.0,27.0,250723.0,5927.0,4482.0,33.0,26566130.0,17.0,2022
100690,0.0,0.0,0.0,13.419354,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,950.0,950.0,430.0,430.0,9000.0,9000.0,0.0,0.0,0.0,11.2,-0.8636364,6345.0,122.0,87.0,800633.5,128.0,93.0,131.0,94.0,5148.5,86.0,66.0,3040.0,22.0,22.0,36003.0,6609.0,45.0,53.0,1333.5,34.0,25.0,34722.5,4957.0,73.0,52.0,358504.0,0.0,0.0,251.0,251.0,251.0,0.0,0.0,251.0,3104.0,15.0,13.0,37692.5,4159.0,208.0,83.0,865108.0,4159.0,208.0,83.0,865108.0,78.0,0.0,0.0,0.0,1796.0,195.0,78.0,350244.0,0.0,2022
100706,0.44562334,0.8116711,0.36604774,37.846153,26.0,49.0,23.0,2248.0,65.18519,120.96296,55.77778,48.814816,75.48148,26.666666,788.0,549.0,0.0,788.0,0.0,163.0,80.0,0.0,163.0,1758.0,1758.0,421.0,958.0,10120.0,23012.0,0.0,0.1388889,0.1388889,64.55556,0.55263156,8983.0,1088.0,91.0,9773641.0,1126.0,95.0,1139.0,96.0,5395.0,241.0,20.0,8014.0,1050.0,88.0,8414888.0,7054.0,481.0,40.0,1823.0,59.0,5.0,107548.0,4949.0,241.0,20.0,1192674.0,1191.0,16.0,7569.0,7360.0,7360.0,1191.0,209.0,7569.0,3252.0,18.0,2.0,58531.0,9922.0,5324.0,70.0,52823950.0,10097.0,5166.0,70.0,52158772.0,22.0,158.0,76.0,665182.0,4469.0,1645.0,22.0,7351738.0,16.0,2022
100724,0.06486487,0.12972973,0.06486487,20.27027,2.0,4.0,2.0,625.0,5.9166665,16.416666,10.5,20.25,32.416668,12.166667,195.0,67.0,0.0,195.0,0.0,80.0,20.0,0.0,80.0,2740.0,2740.0,347.0,694.0,8328.0,16656.0,0.0,0.0,0.0,51.545456,-0.38333333,10029.0,775.0,97.0,7772370.0,775.0,97.0,776.0,97.0,6003.0,624.0,78.0,6804.0,559.0,70.0,3803565.0,6319.0,665.0,83.0,1915.0,145.0,18.0,277633.0,5558.0,624.0,78.0,3468019.0,797.0,23.0,3499.0,3495.0,3495.0,797.0,4.0,3499.0,5072.0,44.0,6.0,223153.0,10501.0,3235.0,92.0,33971850.0,10501.0,3235.0,93.0,33971850.0,70.0,0.0,0.0,0.0,4970.0,2441.0,70.0,12132284.0,23.0,2022
100751,0.9964209,2.7315676,1.7351468,86.12169,101.0,280.0,179.0,9106.0,164.44444,410.5926,246.14815,150.96297,230.51852,79.55556,5009.0,3876.0,8.0,5017.0,0.0,1247.0,852.0,1.0,1248.0,840.0,840.0,545.0,1385.0,11100.0,31460.0,0.42857143,2.2857144,1.8571428,325.67856,-0.40983605,15683.0,6155.0,82.0,96526424.0,6535.0,87.0,6571.0,87.0,3781.0,3407.0,45.0,15493.0,5383.0,71.0,83397064.0,10694.0,2906.0,39.0,1766.0,3086.0,41.0,5449440.0,5145.0,1445.0,19.0,7433922.0,7540.0,24.0,31685.0,30725.0,30725.0,7540.0,960.0,31685.0,932.0,264.0,4.0,246000.0,14421.0,23048.0,73.0,332379970.0,14619.0,22689.0,74.0,331680800.0,18.0,359.0,37.0,699183.0,4922.0,5664.0,18.0,27876172.0,24.0,2022
100760,0.29565218,0.3478261,0.052173913,34.086956,4.0,5.0,1.0,352.0,9.833333,24.666666,14.833333,1.1666666,2.25,1.0833334,113.0,42.0,0.0,113.0,0.0,16.0,0.0,0.0,16.0,1230.0,1230.0,125.0,250.0,3750.0,7500.0,0.41666666,0.41666666,0.0,17.666666,0.7714286,6693.0,168.0,77.0,1124348.0,181.0,83.0,191.0,87.0,5538.0,115.0,53.0,5753.0,84.0,38.0,483232.0,3243.0,48.0,22.0,445.0,50.0,23.0,22250.0,5344.0,115.0,53.0,614605.0,219.0,14.0,1578.0,940.0,940.0,219.0,638.0,1578.0,533.0,8.0,4.0,4261.0,3479.0,1058.0,67.0,3681127.0,5026.0,624.0,66.0,3136495.0,50.0,434.0,68.0,544632.0,4078.0,471.0,30.0,1920895.0,14.0,2022
100812,0.09651475,0.6756032,0.57908845,27.324396,3.0,21.0,18.0,834.0,15.043478,36.869564,21.826086,3.2173913,4.521739,1.3043479,37.166664,19.0,0.0,37.166664,0.0,8.333334,4.0,0.0,8.666667,2310.0,2310.0,241.0,482.0,7230.0,14460.0,0.0,0.0,0.0,22.894737,0.36585367,6345.0,122.0,87.0,800633.5,128.0,93.0,131.0,94.0,5148.5,86.0,66.0,3040.0,22.0,22.0,36003.0,6609.0,45.0,53.0,1333.5,34.0,25.0,34722.5,4957.0,73.0,52.0,358504.0,0.0,0.0,2559.0,2511.0,2511.0,0.0,48.0,2559.0,3104.0,15.0,13.0,37692.5,3811.0,2529.0,99.0,9637358.0,3876.0,2484.0,99.0,9627570.0,42.0,45.0,94.0,9788.0,5409.0,1056.0,41.0,5711751.0,0.0,2022
100830,0.1376673,0.5047801,0.36711282,23.357553,6.0,22.0,16.0,998.0,16.444445,47.48148,31.037037,105.92593,155.33333,49.407406,176.0,70.0,0.0,176.0,0.0,86.0,27.0,0.0,86.0,868.0,868.0,343.0,770.0,8232.0,18480.0,0.0,0.0,0.0,45.32143,-0.2037037,6935.0,510.0,99.0,3537041.0,510.0,99.0,512.0,99.0,5522.0,287.0,56.0,3886.0,498.0,96.0,1935450.0,5505.0,260.0,50.0,822.0,44.0,9.0,36186.0,5415.0,286.0,55.0,1548605.0,517.0,13.0,4086.0,3742.0,3742.0,517.0,344.0,4086.0,764.0,22.0,4.0,16800.0,9078.0,3159.0,77.0,28676368.0,9302.0,3021.0,81.0,28102558.0,50.0,138.0,40.0,573811.0,5408.0,1875.0,46.0,10139982.0,13.0,2022
100858,0.73537606,1.5793872,0.8440111,67.85237,86.0,184.0,98.0,7693.0,136.81482,277.55554,140.74074,306.07407,446.51852,140.44444,3219.0,2687.0,6.0,3225.0,3.0,693.0,529.0,0.0,693.0,1784.0,1784.0,433.0,1299.0,10392.0,31176.0,2.0344827,4.0,1.9655173,272.5862,-0.43548387,9791.0,3887.0,74.0,38057496.0,4133.0,79.0,4154.0,79.0,4273.0,1275.0,24.0,8679.0,3671.0,70.0,31860940.0,9579.0,1566.0,30.0,2221.0,1106.0,21.0,2456758.0,4969.0,602.0,11.0,2991610.0,5254.0,21.0,24931.0,24782.0,24782.0,5254.0,149.0,24931.0,3686.0,203.0,4.0,748185.0,9724.0,16225.0,65.0,157773230.0,9729.0,16137.0,65.0,157000690.0,13.0,88.0,59.0,772548.0,4825.0,3126.0,13.0,15083983.0,21.0,2022
100937,0.072072074,0.18018018,0.10810811,9.90991,2.0,5.0,3.0,263.0,2.5714285,5.714286,3.142857,3.2380953,8.380953,5.142857,183.0,119.0,0.0,183.0,0.0,61.0,43.0,0.0,61.0,1250.0,1250.0,833.0,833.0,20000.0,20000.0,0.0,0.25,0.25,28.65,0.6216216,14163.0,244.0,100.0,3455829.0,244.0,100.0,244.0,100.0,5579.0,70.0,29.0,11663.0,244.0,100.0,2845693.0,7274.0,210.0,86.0,977.0,44.0,18.0,43000.0,4964.0,70.0,29.0,347507.0,244.0,23.0,1058.0,1054.0,1054.0,244.0,4.0,1058.0,1664.0,132.0,54.0,219629.0,13901.0,1040.0,98.0,14457249.0,13901.0,1040.0,99.0,14457249.0,23.0,0.0,0.0,0.0,5212.0,240.0,23.0,1250909.0,23.0,2022
101028,1.8779342,4.1877933,2.309859,43.07981,17.0,42.0,25.0,443.0,18.333334,56.166668,37.833332,0.0,0.0,0.0,65.0,29.0,0.0,65.0,0.0,9.0,2.0,0.0,9.0,1230.0,1230.0,125.0,250.0,3750.0,7500.0,0.0,0.0,0.0,30.0,0.6216216,10486.0,157.0,91.0,1646247.0,165.0,96.0,165.0,96.0,7669.0,157.0,91.0,5667.0,74.0,43.0,419356.0,5487.0,37.0,22.0,2209.0,157.0,91.0,346801.0,7390.0,116.0,67.0,857232.0,172.0,13.0,1360.0,1107.0,1107.0,172.0,253.0,1360.0,847.0,27.0,16.0,22858.0,4639.0,1079.0,79.0,5005154.0,5542.0,844.0,76.0,4677373.0,59.0,235.0,93.0,327781.0,4507.0,653.0,48.0,2943020.0,13.0,2022
101116,0.0,0.0,0.0,9.0,0.0,0.0,0.0,93.0,0.0,0.8333333,0.8333333,1.25,1.6666666,0.41666666,2.0,0.6666667,0.0,2.0,0.0,0.6666667,0.0,0.0,0.6666667,1260.0,1260.0,425.0,425.0,15300.0,15300.0,0.0,0.0,0.0,4.0,2.6190476,5000.0,11.0,92.0,55001.0,11.0,92.0,11.0,92.0,5149.0,10.0,83.0,1317.0,2.0,17.0,2633.0,7144.0,11.0,92.0,1250.0,2.0,17.0,2500.0,4899.0,10.0,83.0,48992.0,12.0,4.0,341.0,337.0,337.0,12.0,4.0,341.0,438.0,2.0,17.0,876.0,5369.0,275.0,81.0,1476533.0,5369.0,275.0,82.0,1476533.0,65.0,0.0,0.0,0.0,4246.0,219.0,64.0,929955.0,4.0,2022
101143,0.7255814,1.0046512,0.27906978,26.102325,10.0,14.0,4.0,362.0,21.75,40.5,18.75,3.0,5.4166665,2.4166667,144.0,53.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,1170.0,1170.0,125.0,250.0,3750.0,7500.0,0.0,0.0,0.0,24.727272,0.55263156,6606.0,267.0,79.0,1763738.0,297.0,87.0,297.0,87.0,5687.0,202.0,59.0,4515.0,133.0,39.0,600521.0,4431.0,75.0,22.0,1146.0,31.0,9.0,35540.0,5594.0,199.0,59.0,1113177.0,340.0,19.0,1796.0,1336.0,1336.0,340.0,460.0,1796.0,558.0,26.0,8.0,14500.0,4605.0,1375.0,77.0,6332518.0,5649.0,974.0,73.0,5502344.0,56.0,401.0,87.0,830174.0,4846.0,742.0,41.0,3595549.0,19.0,2022
101161,1.271028,2.5919003,1.3208723,61.89408,23.0,54.0,31.0,1302.0,47.166668,118.416664,71.25,3.5,8.5,5.0,650.0,163.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,1170.0,1170.0,125.0,250.0,3750.0,7500.0,0.90909094,1.3636364,0.45454547,80.454544,0.20454545,6348.0,965.0,92.0,6126003.0,981.0,94.0,988.0,94.0,4891.0,865.0,83.0,6174.0,291.0,28.0,1796597.0,4987.0,305.0,29.0,1281.0,705.0,67.0,903391.0,5963.0,558.0,53.0,3327599.0,1047.0,15.0,7063.0,5232.0,5232.0,1047.0,1831.0,7063.0,643.0,153.0,15.0,98416.0,3927.0,6226.0,88.0,24452108.0,4740.0,4516.0,86.0,21405842.0,45.0,1710.0,93.0,3046267.0,4748.0,2380.0,34.0,11299972.0,15.0,2022
101189,0.1724138,0.41379312,0.2413793,29.275862,5.0,12.0,7.0,849.0,8.846154,19.538462,10.692307,15.615385,23.384615,7.769231,51.333332,26.0,0.0,51.333332,0.0,39.333332,16.0,0.0,39.333332,1990.0,1990.0,755.0,755.0,21930.0,21930.0,0.0,0.3043478,0.3043478,33.304348,0.10869565,16238.0,176.0,98.0,2857901.0,178.0,99.0,178.0,99.0,5821.0,107.0,60.0,12718.0,159.0,89.0,2022205.0,9307.0,129.0,72.0,935.0,89.0,50.0,83230.0,5043.0,107.0,60.0,539584.0,179.0,9.0,1922.0,1713.0,1713.0,179.0,209.0,1922.0,1804.0,118.0,66.0,212882.0,11375.0,1475.0,77.0,16777448.0,11423.0,1462.0,85.0,16699884.0,52.0,13.0,6.0,77565.0,4827.0,886.0,46.0,4277164.0,9.0,2022
101240,1.1764706,1.8074867,0.631016,53.989304,7.0,22.0,15.0,931.0,22.083334,65.75,43.666668,8.916667,19.5,10.583333,276.0,82.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,1312.0,1312.0,125.0,250.0,4000.0,8000.0,1.3636364,1.8181819,0.45454547,58.0,0.36585367,6133.0,519.0,83.0,3182982.0,519.0,83.0,569.0,91.0,5710.0,405.0,65.0,2792.0,298.0,48.0,831890.0,7107.0,12.0,2.0,3420.0,33.0,5.0,112873.0,5486.0,401.0,64.0,2199802.0,625.0,15.0,4308.0,3513.0,3513.0,625.0,795.0,4308.0,1098.0,35.0,6.0,38417.0,5560.0,3272.0,76.0,18191360.0,6608.0,2731.0,78.0,18045626.0,57.0,541.0,68.0,145735.0,4493.0,1988.0,46.0,8932686.0,15.0,2022
101277,0.0,0.0,0.0,21.12,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,0.0,35.0,0.0,6.0,4.0,0.0,6.0,730.0,750.0,350.0,508.0,10659.0,14880.0,0.0,0.0,0.0,28.096802,0.083333336,4088.0,27.0,55.0,110377.0,27.0,55.0,33.0,67.0,4088.0,27.0,55.0,3040.0,0.0,0.0,0.0,6298.0,2.0,4.0,1333.5,0.0,0.0,0.0,4088.0,27.0,55.0,110377.0,258.0,15.0,1705.0,1415.0,114.0,49.0,0.0,114.0,3104.0,0.0,0.0,0.0,3345.0,33.0,29.0,110377.0,3345.0,33.0,29.0,110377.0,24.0,0.0,0.0,0.0,4088.0,27.0,24.0,110377.0,43.0,2022
101286,0.22742476,1.2307693,1.0033445,46.14047,4.0,23.0,19.0,793.0,17.083334,59.083332,42.0,0.41666666,2.25,1.8333334,264.0,98.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,1110.0,1110.0,125.0,250.0,3750.0,7500.0,1.4285715,1.4285715,0.0,85.0,0.25581396,7349.0,388.0,75.0,2851399.0,388.0,75.0,435.0,85.0,5737.0,296.0,58.0,8587.0,120.0,23.0,1030430.0,9054.0,14.0,3.0,1299.0,66.0,13.0,85720.0,5619.0,287.0,56.0,1612551.0,514.0,13.0,3899.0,3191.0,3191.0,514.0,708.0,3899.0,1319.0,93.0,18.0,122698.0,5322.0,2854.0,73.0,15188648.0,5941.0,2480.0,78.0,14732902.0,58.0,374.0,53.0,455746.0,4871.0,1854.0,48.0,9030171.0,13.0,2022
101295,0.264,1.288,1.024,70.048,5.0,31.0,26.0,1580.0,24.916666,72.083336,47.166668,6.0833335,12.5,6.4166665,377.0,219.0,0.0,377.0,0.0,56.0,24.0,0.0,56.0,1170.0,1170.0,125.0,250.0,3750.0,7500.0,0.0,0.0,0.0,54.636364,0.30952382,5681.0,685.0,71.0,3891241.0,772.0,80.0,773.0,80.0,5463.0,494.0,51.0,3906.0,283.0,29.0,1105504.0,5416.0,216.0,22.0,898.0,97.0,10.0,87122.0,5385.0,485.0,50.0,2611563.0,961.0,18.0,5204.0,4297.0,4297.0,961.0,907.0,5204.0,967.0,90.0,9.0,87052.0,4719.0,3067.0,59.0,14472564.0,5549.0,2406.0,56.0,13349866.0,48.0,661.0,73.0,1122698.0,4549.0,2064.0,40.0,9388486.0,18.0,2022
101301,0.13559322,0.13559322,0.0,22.711864,1.0,1.0,0.0,255.0,0.0,0.0,0.0,1.8333334,4.5,2.6666667,40.0,20.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,870.0,870.0,125.0,250.0,3750.0,7500.0,0.0,0.0,0.0,20.454546,0.6944444,11011.0,219.0,100.0,2411334.0,219.0,100.0,219.0,100.0,9241.0,219.0,100.0,4251.0,44.0,20.0,187022.0,6609.0,0.0,0.0,3238.0,219.0,100.0,709085.0,7345.0,179.0,82.0,1314705.0,219.0,13.0,1627.0,942.0,942.0,219.0,685.0,1627.0,3518.0,57.0,26.0,200522.0,5743.0,1627.0,100.0,9343825.0,7828.0,942.0,100.0,7374237.0,71.0,685.0,100.0,1969588.0,5751.0,668.0,41.0,3841365.0,13.0,2022
101365,0.13270143,0.24644549,0.11374407,14.50237,2.0,4.0,2.0,245.0,0.41666666,4.75,4.3333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.6666667,930.0,930.0,495.0,495.0,11820.0,11820.0,0.0,0.0,0.0,7.9411764,2.6190476,6269.0,31.0,97.0,194328.0,32.0,100.0,32.0,100.0,5357.0,19.0,59.0,3591.0,25.0,78.0,89784.0,7232.0,23.0,72.0,525.0,16.0,50.0,8400.0,4915.0,19.0,59.0,93389.0,32.0,5.0,608.0,608.0,608.0,32.0,0.0,608.0,2755.0,1.0,3.0,2755.0,5053.0,506.0,83.0,2556775.0,5053.0,506.0,83.0,2556775.0,64.0,0.0,0.0,0.0,4011.0,389.0,64.0,1560407.0,5.0,2022
101435,0.04225352,0.3802817,0.33802816,8.9577465,1.0,8.0,7.0,204.0,10.916667,16.25,5.3333335,0.0,0.0,0.0,88.0,53.0,0.0,88.0,0.0,78.0,35.0,0.0,78.0,1499.0,1499.0,978.0,978.0,26800.0,26800.0,0.29166666,0.29166666,0.0,12.0,0.10869565,16020.0,250.0,100.0,4005034.0,250.0,100.0,250.0,100.0,5473.0,111.0,44.0,12437.0,250.0,100.0,3109364.0,7546.0,202.0,81.0,1134.0,66.0,26.0,74860.0,4978.0,107.0,43.0,532630.0,250.0,30.0,839.0,839.0,839.0,250.0,0.0,839.0,1685.0,171.0,68.0,288180.0,15914.0,832.0,99.0,13240620.0,15914.0,832.0,99.0,13240620.0,39.0,0.0,0.0,0.0,4770.0,329.0,39.0,1569419.0,30.0,2022
101453,0.0,0.0,0.0,10.615385,0.0,0.0,0.0,23.0,0.3846154,0.3846154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1480.0,1480.0,423.0,423.0,10152.0,10152.0,0.0,0.0,0.0,2.6923077,1.2333333,12790.0,3.0,100.0,38370.0,3.0,100.0,3.0,100.0,4126.0,3.0,100.0,8664.0,3.0,100.0,25993.0,6609.0,0.0,0.0,292.0,1.0,33.0,292.0,4028.0,3.0,100.0,12085.0,3.0,4.0,84.0,72.0,72.0,3.0,12.0,84.0,3104.0,0.0,0.0,0.0,7746.0,66.0,79.0,511248.0,7862.0,65.0,90.0,511048.0,46.0,1.0,8.0,200.0,4089.0,33.0,39.0,134941.0,4.0,2022
101462,0.050847456,0.3559322,0.30508474,9.542373,1.0,4.0,3.0,110.0,8.26087,19.304348,11.043478,1.2173913,3.826087,2.6086957,12.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1140.0,1140.0,125.0,250.0,3750.0,7500.0,0.45454547,1.5454545,1.0909091,11.727273,0.93939394,6261.0,49.0,86.0,306770.0,49.0,86.0,51.0,89.0,5767.0,49.0,86.0,3196.0,7.0,12.0,22370.0,6609.0,0.0,0.0,1690.0,29.0,51.0,49018.0,5697.0,41.0,72.0,233582.0,57.0,7.0,872.0,688.0,688.0,57.0,184.0,872.0,360.0,5.0,9.0,1800.0,3757.0,811.0,93.0,3046720.0,4503.0,633.0,92.0,2850364.0,59.0,178.0,97.0,196356.0,4864.0,405.0,46.0,1969892.0,7.0,2022
101471,0.0,0.0,0.0,47.80488,0.0,0.0,0.0,397.0,0.85714287,0.85714287,0.0,0.7619048,0.7619048,0.0,147.0,16.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,690.0,690.0,123.0,123.0,3990.0,3990.0,0.45454547,1.3636364,0.90909094,38.363636,1.4642857,1604.0,178.0,100.0,285482.0,178.0,100.0,178.0,100.0,1613.0,19.0,11.0,3040.0,0.0,0.0,0.0,6609.0,0.0,0.0,1333.5,0.0,0.0,0.0,1613.0,19.0,11.0,30646.0,178.0,45.0,400.0,400.0,400.0,178.0,0.0,400.0,1603.0,159.0,89.0,254836.0,1962.0,400.0,100.0,784843.0,1962.0,400.0,100.0,784843.0,27.0,0.0,0.0,0.0,1613.0,108.0,27.0,174200.0,45.0,2022
101480,0.0,0.0,0.0,44.889706,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,28.0,56.148148,28.148148,592.0,363.0,0.0,592.0,0.0,180.0,91.0,0.0,180.0,1962.0,1962.0,333.0,665.0,9990.0,19950.0,0.0,0.0,0.0,102.611115,0.4871795,10123.0,1779.0,100.0,18009408.0,1779.0,100.0,1779.0,100.0,5167.0,1663.0,93.0,4944.0,1729.0,97.0,8548895.0,7160.0,1027.0,58.0,1961.0,1611.0,90.0,3159647.0,5214.0,1042.0,58.0,5432918.0,1782.0,22.0,8067.0,6992.0,6992.0,1782.0,1075.0,8067.0,2197.0,395.0,22.0,867947.0,7234.0,7887.0,98.0,57050984.0,8102.0,6979.0,100.0,56547120.0,51.0,908.0,84.0,503860.0,5032.0,3538.0,44.0,17803970.0,22.0,2022
101505,1.0428015,2.007782,0.96498054,80.88716,15.0,32.0,17.0,1291.0,37.5,90.833336,53.333332,17.833334,45.083332,27.25,415.0,111.0,0.0,415.0,0.0,56.0,5.0,0.0,56.0,1230.0,1230.0,133.0,256.0,3990.0,7680.0,1.3636364,2.2727273,0.90909094,59.636364,0.4871795,5313.0,854.0,100.0,4537005.0,854.0,100.0,854.0,100.0,4183.0,854.0,100.0,4801.0,178.0,21.0,854593.0,3137.0,219.0,26.0,1494.0,854.0,100.0,1275814.0,5533.0,415.0,49.0,2296309.0,854.0,10.0,8518.0,6141.0,6141.0,854.0,2377.0,8518.0,634.0,174.0,20.0,110289.0,3113.0,8518.0,100.0,26518006.0,3798.0,6141.0,100.0,23321856.0,41.0,2377.0,100.0,3196150.0,4247.0,2521.0,30.0,10706407.0,10.0,2022
101514,4.794224,10.527076,5.732852,166.65704,54.0,124.0,70.0,2185.0,77.0,180.91667,103.916664,6.6666665,22.166666,15.5,615.0,276.0,0.0,615.0,0.0,58.0,16.0,0.0,58.0,1250.0,1250.0,125.0,250.0,3750.0,7500.0,0.3846154,2.3076923,1.9230769,61.76923,0.425,5207.0,570.0,64.0,2967816.0,636.0,72.0,669.0,76.0,5328.0,411.0,46.0,3105.0,212.0,24.0,658170.0,5091.0,181.0,20.0,1187.0,104.0,12.0,123488.0,5141.0,402.0,45.0,2066489.0,886.0,10.0,8702.0,6795.0,6795.0,886.0,1907.0,8702.0,1617.0,74.0,8.0,119669.0,3294.0,4378.0,50.0,14421673.0,3867.0,3506.0,52.0,13558408.0,38.0,872.0,46.0,863265.0,3562.0,2563.0,29.0,9129319.0,10.0,2022
101569,0.4,0.54285717,0.14285715,18.971428,8.0,13.0,5.0,490.0,12.333333,38.583332,26.25,2.8333333,5.1666665,2.3333333,116.0,38.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,1170.0,1170.0,125.0,250.0,3750.0,7500.0,1.4285715,2.142857,0.71428573,55.0,0.55263156,9764.0,426.0,100.0,4159280.0,426.0,100.0,426.0,100.0,8196.0,426.0,100.0,3815.0,155.0,36.0,591255.0,6609.0,0.0,0.0,3622.0,426.0,100.0,1543001.0,5977.0,326.0,77.0,1948487.0,426.0,14.0,3094.0,2779.0,2779.0,426.0,315.0,3094.0,2014.0,38.0,9.0,76537.0,6485.0,3077.0,99.0,19955608.0,7011.0,2779.0,100.0,19482918.0,63.0,298.0,95.0,472691.0,5097.0,1740.0,56.0,8869134.0,14.0,2022
101587,0.22459893,1.0588236,0.8342246,59.87166,7.0,31.0,24.0,1846.0,8.296296,25.925926,17.62963,12.962963,31.037037,18.074074,78.0,30.0,0.0,78.0,0.0,39.333332,17.333334,0.0,39.333332,1890.0,1890.0,352.0,650.0,9100.0,18200.0,0.0,0.25925925,0.25925925,23.962963,-0.13461539,9291.0,272.0,89.0,2527124.0,301.0,99.0,301.0,99.0,4507.0,221.0,73.0,6689.0,220.0,72.0,1471476.0,6109.0,209.0,69.0,1281.0,34.0,11.0,43550.0,5093.0,187.0,62.0,952398.0,304.0,13.0,2322.0,2322.0,2322.0,304.0,0.0,2322.0,1706.0,35.0,12.0,59700.0,3247.0,1580.0,68.0,5129604.0,3247.0,1580.0,68.0,5129604.0,46.0,0.0,0.0,0.0,2109.0,1058.0,46.0,2230964.0,13.0,2022
101602,0.8558952,1.7991266,0.94323146,31.49345,12.0,26.0,14.0,493.0,10.416667,26.416666,16.0,0.33333334,0.33333334,0.0,124.0,53.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,1170.0,1170.0,125.0,250.0,3750.0,7500.0,0.0,0.0,0.0,38.57143,0.425,6560.0,331.0,86.0,2171426.0,331.0,86.0,358.0,93.0,5943.0,247.0,64.0,4048.0,162.0,42.0,655705.0,6609.0,0.0,0.0,847.0,99.0,26.0,83891.0,5719.0,242.0,63.0,1383925.0,383.0,21.0,1816.0,1117.0,1117.0,383.0,699.0,1816.0,1774.0,27.0,7.0,47905.0,3900.0,1489.0,82.0,5806755.0,5584.0,903.0,81.0,5042638.0,61.0,586.0,84.0,764117.0,4675.0,681.0,38.0,3183546.0,21.0,2022
